T,lef_fuel,lef_steel
0.400000E+03,0.121920E-02,0.121310E-02
0.400801E+03,0.123100E-02,0.122185E-02
0.401602E+03,0.124279E-02,0.123061E-02
0.402402E+03,0.125459E-02,0.123938E-02
0.403203E+03,0.126640E-02,0.124816E-02
0.404004E+03,0.127820E-02,0.125694E-02
0.404805E+03,0.129001E-02,0.126573E-02
0.405606E+03,0.130181E-02,0.127452E-02
0.406406E+03,0.131362E-02,0.128333E-02
0.407207E+03,0.132544E-02,0.129213E-02
0.408008E+03,0.133725E-02,0.130095E-02
0.408809E+03,0.134907E-02,0.130977E-02
0.409610E+03,0.136089E-02,0.131859E-02
0.410410E+03,0.137272E-02,0.132743E-02
0.411211E+03,0.138455E-02,0.133627E-02
0.412012E+03,0.139638E-02,0.134511E-02
0.412813E+03,0.140821E-02,0.135396E-02
0.413614E+03,0.142005E-02,0.136282E-02
0.414414E+03,0.143189E-02,0.137169E-02
0.415215E+03,0.144374E-02,0.138056E-02
0.416016E+03,0.145559E-02,0.138943E-02
0.416817E+03,0.146744E-02,0.139832E-02
0.417618E+03,0.147930E-02,0.140721E-02
0.418418E+03,0.149116E-02,0.141610E-02
0.419219E+03,0.150303E-02,0.142500E-02
0.420020E+03,0.151490E-02,0.143391E-02
0.420821E+03,0.152678E-02,0.144283E-02
0.421622E+03,0.153866E-02,0.145175E-02
0.422422E+03,0.155055E-02,0.146067E-02
0.423223E+03,0.156244E-02,0.146961E-02
0.424024E+03,0.157434E-02,0.147855E-02
0.424825E+03,0.158624E-02,0.148749E-02
0.425626E+03,0.159815E-02,0.149645E-02
0.426426E+03,0.161007E-02,0.150540E-02
0.427227E+03,0.162199E-02,0.151437E-02
0.428028E+03,0.163391E-02,0.152334E-02
0.428829E+03,0.164585E-02,0.153231E-02
0.429630E+03,0.165779E-02,0.154130E-02
0.430430E+03,0.166973E-02,0.155029E-02
0.431231E+03,0.168169E-02,0.155928E-02
0.432032E+03,0.169364E-02,0.156828E-02
0.432833E+03,0.170561E-02,0.157729E-02
0.433634E+03,0.171758E-02,0.158630E-02
0.434434E+03,0.172956E-02,0.159532E-02
0.435235E+03,0.174155E-02,0.160435E-02
0.436036E+03,0.175355E-02,0.161338E-02
0.436837E+03,0.176555E-02,0.162242E-02
0.437638E+03,0.177756E-02,0.163146E-02
0.438438E+03,0.178958E-02,0.164051E-02
0.439239E+03,0.180160E-02,0.164957E-02
0.440040E+03,0.181364E-02,0.165863E-02
0.440841E+03,0.182568E-02,0.166770E-02
0.441642E+03,0.183773E-02,0.167677E-02
0.442442E+03,0.184979E-02,0.168585E-02
0.443243E+03,0.186185E-02,0.169494E-02
0.444044E+03,0.187393E-02,0.170403E-02
0.444845E+03,0.188602E-02,0.171313E-02
0.445646E+03,0.189811E-02,0.172223E-02
0.446446E+03,0.191021E-02,0.173134E-02
0.447247E+03,0.192233E-02,0.174046E-02
0.448048E+03,0.193445E-02,0.174958E-02
0.448849E+03,0.194658E-02,0.175871E-02
0.449650E+03,0.195872E-02,0.176784E-02
0.450450E+03,0.197087E-02,0.177698E-02
0.451251E+03,0.198304E-02,0.178613E-02
0.452052E+03,0.199521E-02,0.179528E-02
0.452853E+03,0.200739E-02,0.180444E-02
0.453654E+03,0.201958E-02,0.181360E-02
0.454454E+03,0.203178E-02,0.182277E-02
0.455255E+03,0.204400E-02,0.183195E-02
0.456056E+03,0.205622E-02,0.184113E-02
0.456857E+03,0.206846E-02,0.185031E-02
0.457658E+03,0.208070E-02,0.185951E-02
0.458458E+03,0.209296E-02,0.186871E-02
0.459259E+03,0.210523E-02,0.187791E-02
0.460060E+03,0.211751E-02,0.188712E-02
0.460861E+03,0.212980E-02,0.189634E-02
0.461662E+03,0.214210E-02,0.190556E-02
0.462462E+03,0.215442E-02,0.191479E-02
0.463263E+03,0.216675E-02,0.192402E-02
0.464064E+03,0.217909E-02,0.193326E-02
0.464865E+03,0.219144E-02,0.194251E-02
0.465666E+03,0.220380E-02,0.195176E-02
0.466466E+03,0.221618E-02,0.196102E-02
0.467267E+03,0.222857E-02,0.197028E-02
0.468068E+03,0.224097E-02,0.197955E-02
0.468869E+03,0.225338E-02,0.198882E-02
0.469670E+03,0.226581E-02,0.199810E-02
0.470470E+03,0.227825E-02,0.200739E-02
0.471271E+03,0.229071E-02,0.201668E-02
0.472072E+03,0.230318E-02,0.202598E-02
0.472873E+03,0.231566E-02,0.203528E-02
0.473674E+03,0.232816E-02,0.204459E-02
0.474474E+03,0.234067E-02,0.205390E-02
0.475275E+03,0.235319E-02,0.206322E-02
0.476076E+03,0.236573E-02,0.207255E-02
0.476877E+03,0.237828E-02,0.208188E-02
0.477678E+03,0.239085E-02,0.209122E-02
0.478478E+03,0.240343E-02,0.210056E-02
0.479279E+03,0.241602E-02,0.210991E-02
0.480080E+03,0.242863E-02,0.211927E-02
0.480881E+03,0.244126E-02,0.212863E-02
0.481682E+03,0.245390E-02,0.213799E-02
0.482482E+03,0.246656E-02,0.214736E-02
0.483283E+03,0.247923E-02,0.215674E-02
0.484084E+03,0.249192E-02,0.216612E-02
0.484885E+03,0.250462E-02,0.217551E-02
0.485686E+03,0.251734E-02,0.218490E-02
0.486486E+03,0.253007E-02,0.219430E-02
0.487287E+03,0.254282E-02,0.220371E-02
0.488088E+03,0.255559E-02,0.221312E-02
0.488889E+03,0.256837E-02,0.222253E-02
0.489690E+03,0.258117E-02,0.223195E-02
0.490490E+03,0.259399E-02,0.224138E-02
0.491291E+03,0.260682E-02,0.225081E-02
0.492092E+03,0.261967E-02,0.226025E-02
0.492893E+03,0.263254E-02,0.226970E-02
0.493694E+03,0.264542E-02,0.227915E-02
0.494494E+03,0.265832E-02,0.228860E-02
0.495295E+03,0.267124E-02,0.229806E-02
0.496096E+03,0.268418E-02,0.230753E-02
0.496897E+03,0.269713E-02,0.231700E-02
0.497698E+03,0.271011E-02,0.232647E-02
0.498498E+03,0.272310E-02,0.233596E-02
0.499299E+03,0.273610E-02,0.234544E-02
0.500100E+03,0.274913E-02,0.235494E-02
0.500901E+03,0.276217E-02,0.236444E-02
0.501702E+03,0.277524E-02,0.237394E-02
0.502503E+03,0.278832E-02,0.238345E-02
0.503303E+03,0.280142E-02,0.239296E-02
0.504104E+03,0.281454E-02,0.240248E-02
0.504905E+03,0.282768E-02,0.241201E-02
0.505706E+03,0.284083E-02,0.242154E-02
0.506507E+03,0.285401E-02,0.243108E-02
0.507307E+03,0.286721E-02,0.244062E-02
0.508108E+03,0.288042E-02,0.245017E-02
0.508909E+03,0.289366E-02,0.245972E-02
0.509710E+03,0.290691E-02,0.246928E-02
0.510511E+03,0.292019E-02,0.247884E-02
0.511311E+03,0.293349E-02,0.248841E-02
0.512112E+03,0.294680E-02,0.249798E-02
0.512913E+03,0.296014E-02,0.250756E-02
0.513714E+03,0.297350E-02,0.251715E-02
0.514515E+03,0.298687E-02,0.252674E-02
0.515315E+03,0.300027E-02,0.253633E-02
0.516116E+03,0.301369E-02,0.254593E-02
0.516917E+03,0.302713E-02,0.255554E-02
0.517718E+03,0.304059E-02,0.256515E-02
0.518519E+03,0.305408E-02,0.257476E-02
0.519319E+03,0.306758E-02,0.258439E-02
0.520120E+03,0.308111E-02,0.259401E-02
0.520921E+03,0.309465E-02,0.260364E-02
0.521722E+03,0.310822E-02,0.261328E-02
0.522523E+03,0.312181E-02,0.262292E-02
0.523323E+03,0.313543E-02,0.263257E-02
0.524124E+03,0.314906E-02,0.264223E-02
0.524925E+03,0.316272E-02,0.265188E-02
0.525726E+03,0.317640E-02,0.266155E-02
0.526527E+03,0.319011E-02,0.267122E-02
0.527327E+03,0.320383E-02,0.268089E-02
0.528128E+03,0.321758E-02,0.269057E-02
0.528929E+03,0.323136E-02,0.270025E-02
0.529730E+03,0.324515E-02,0.270994E-02
0.530531E+03,0.325897E-02,0.271964E-02
0.531331E+03,0.327282E-02,0.272934E-02
0.532132E+03,0.328668E-02,0.273904E-02
